ID,Product Category,Product Name,Purchase Cost,Selling Price,Supplier,Quantity on Hand
1,Leisure,Blue Moon,75.29,105.41,Simpson's Bike Supply,4
2,Mtn.,Bluff Breaker,375,495,The Bike Path,3
3,Leisure,Breeze,89.95,130.95,The Bike Path,4
4,Leisure,Breeze LE,109.95,149.95,The Bike Path,5
5,Road,Classic 109,207.49,290.49,Bicyclist's Choice,7
6,Children,Coolest 100,69.99,97.98,Bicyclist's Choice,6
7,Mtn.,Eagle 1,410.01,574.01,Bike-One,1
8,Mtn.,Eagle 2,401.11,561.54,Bike-One,2
9,Mtn.,Eagle 3,350.52,490.73,Bike-One,5
10,Hybrid,Eagle 7,150.89,211.46,Bike-One,9
11,Road,Elegant 210,281.52,394.13,Bicyclist's Choice,7
12,Children,Green Rider,95.47,133.66,Simpson's Bike Supply,4
13,Mtn.,Jetty Breaker,455.95,649.95,The Bike Path,1
14,Children,Red Rider,15,25.5,Simpson's Bike Supply,8
15,Hybrid,Runblend 2000,180.95,255.99,Run-Up Bikes,0
16,Leisure,Runcool 3000,85.95,135.99,Run-Up Bikes,5
17,Children,Runkidder 100,50.95,75.99,Run-Up Bikes,10
18,Road,Runroad 1000,250.95,350.99,Run-Up Bikes,8
19,Road,Runroad 4000,390.95,495.99,Run-Up Bikes,5
20,Road,Runroad 5000,450.95,599.99,Run-Up Bikes,5
21,Leisure,Starlight,100.47,140.66,Simpson's Bike Supply,1
22,Leisure,Supreme 350,50,70,Bicyclist's Choice,3
23,Hybrid,Tea for Two,429.02,609,Simpson's Bike Supply,3
24,Road,Twist & Shout,490.5,635.7,Simpson's Bike Supply,0
